BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15571,6076203,15571,Slope 45 2 x 1 Triple with Bottom Stud Holder,85,72,Dark Bluish Gray,Solid Colors,2,0.34
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
30044,6143849,30044,Window 1 x 2 x 2 2/3 with Rounded Top,85,72,Dark Bluish Gray,Solid Colors,1,0.95
30045,4188716,30045,Pane for Window 1 x 2 x 2 2/3 Twisted Bar with Rounded Top,10,8,Dark Gray,Solid Colors,1,0.27
3005,4211098,3005,Brick 1 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.44
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.2
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3044c,4226221,3044c,Slope 45 2 x 1 Double with Bottom Stud Holder,85,72,Dark Bluish Gray,Solid Colors,4,0.45
3622,4211104,3622,Brick 1 x 3,85,72,Dark Bluish Gray,Solid Colors,2,1.24
3659,4210999,3659,Arch 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.25
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
85863,6109516,85863,Body Microfigure Plain Complete,85,72,Dark Bluish Gray,Solid Colors,2,0.63
92593,4598769,92593,"Plate, Modified 1 x 4 with 2 Studs without Groove",85,72,Dark Bluish Gray,Solid Colors,1,0.61
94161,4624507,94161,Shutter for Window 1 x 2 x 2 2/3 with Rounded Top,88,70,Reddish Brown,Solid Colors,1,0.4
94158f,4624993,94158f,"Minifigure, Weapon Twin-Blade Axe",85,72,Dark Bluish Gray,Solid Colors,2,0.3
30237b,6335306,30237b,"Brick, Modified 1 x 2 with Open O Clip Thick (Vertical Grip)",85,72,Dark Bluish Gray,Solid Colors,2,1.0
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
29,17.88,,,,,,,,
